temp(C) wspeed smoist(mm) stemp(F)
12 7.5 185 71
16 7.5 139 60
15 7.3 176 77
14 7.5 153 67
18 7.4 327 59
20 5.4 424 76
9 5.3 357 45
5 5.1 449 47
17 5.4 348 46
10 5.5 366 52
9 5.4 333 48
16 5.1 354 47
6 5.3 392 56
12 5.5 346 71
13 5 446 73
9 5.1 401 55
11 5.1 334 56
19 5.1 427 56
9 5.1 353 66
17 5.2 372 59
11 5.5 352 67
20 5 329 68
6 5.4 396 63
16 5.2 381 70
7 5.3 385 72
16 5.2 332 76
15 5 335 64
20 5.4 444 56
7 5.4 384 68
8 5.2 362 66
19 5.3 419 76
20 5.3 403 59
9 5.5 337 65
12 5.2 336 56
16 5 383 54
6 5 396 58
18 5.4 409 68
19 5.4 354 75
11 5.5 398 75
5 7.1 341 73
8 7.4 384 75
6 5.1 380 76
5 5.5 392 70
8 5.1 398 76
15 5.5 403 65
7 5 340 63
7 5.3 447 64
9 5.3 358 74
10 5 391 54
18 5.1 450 76
3 5.5 361 75
3 5.4 417 60
2 5 419 69
14 5.2 372 72
12 5.5 364 59
13 5.2 428 65
2 5.4 430 74
2 5.3 354 68
2 5.2 368 59
2 5 412 54
12 5.3 430 75
19 5.4 330 62
14 5.3 342 54
18 5.1 355 63
19 5.1 441 59
12 5.2 389 68
19 5.4 370 72
11 5.2 432 72
15 5.1 357 56
18 5.3 371 60
11 5.5 444 77
15 5.2 331 55
15 5 337 64
16 5.3 448 55
5 5.1 337 57
5 5.4 450 77
20 5.4 419 55
19 5 383 73
12 5.3 414 75
13 5.4 367 70
15 5.2 357 59
12 5.4 339 67
20 5.2 377 76
20 5.5 401 75
18 5.3 327 58
20 5 331 70
19 5.3 410 71
19 5 416 58
11 5.5 386 59
8 5.3 343 65
15 5.4 435 68
11 5.4 359 74
17 5.3 332 74
20 5.2 410 69
20 5.3 450 66
19 5.4 194 64
14 7.1 160 77
6 7 157 61
18 7.3 153 71
19 7.2 148 77
8 7.5 397 54
13 5.5 356 72
7 5.4 367 52
13 5.1 444 55
8 5.3 349 45
15 5.2 352 46
14 5.5 346 54
8 5.3 423 55
17 5.2 373 71
17 5 412 61
12 5.5 423 74
16 5.5 371 61
15 5.4 438 70
12 5.2 362 73
6 5.3 392 74
11 5.5 352 67
12 5.4 440 54
17 5.4 402 71
8 5.1 427 73
5 5.2 348 59
15 5.5 383 73
10 5.5 432 58
13 5.1 392 57
20 5.2 395 60
7 5.3 414 70
18 5.5 347 59
8 5 418 68
14 5.1 422 65
17 5 339 62
10 5.1 421 59
6 5 429 64
16 5.5 364 67
19 5.3 329 67
12 5.3 370 54
17 5.4 341 69
14 7.1 393 64
5 7.2 408 54
7 5.3 352 77
13 5 404 59
17 5.1 359 73
6 5.5 449 61
8 5.5 362 77
8 5.3 401 54
16 5 351 59
17 5.2 366 66
7 5.5 359 62
2 5.1 333 54
2 5.4 327 72
3 5.3 439 63
12 5.2 417 61
14 5.3 422 62
19 5.3 368 72
3 5.3 371 68
2 5.4 434 61
3 5.2 402 69
3 5.5 342 73
8 5.5 406 62
13 5.1 344 73
9 5.4 409 54
16 5.4 383 62
10 5.5 441 67
12 5.3 439 76
5 5 449 54
15 5.3 339 69
8 5.2 379 65
5 5.4 448 63
13 5.2 419 61
9 5.2 398 59
5 5.2 325 69
11 5.1 326 70
9 5.5 377 60
20 5.4 422 63
18 5.3 362 55
14 5.1 430 72
20 5.2 347 54
14 5.2 350 67
14 5.4 366 55
16 5.5 364 64
12 5.5 446 64
13 5.3 330 70
9 5.2 446 69
14 5.5 353 63
6 5.3 430 68
13 5.2 357 66
13 5.5 342 63
5 5.2 420 74
17 5.1 379 70
16 5.3 372 73
17 5.3 336 69
7 5.1 351 54
16 5 353 72
17 5.1 146 73
16 7.5 180 70
8 7.1 149 62
12 7.1 130 67
19 7.1 168 65
7 7.5 448 71
17 5.1 392 70
15 5.5 402 53
11 5.1 446 54
13 5.3 377 48
9 5.4 367 48
6 5.1 432 51
17 5.4 407 50
7 5.3 449 59
17 5.2 372 71
8 5 330 56
14 5 404 65
19 5.4 349 67
19 5.4 438 59
12 5.2 365 60
19 5.3 350 54
6 5 332 71
5 5 411 66
11 5.1 351 73
14 5.4 417 70
9 5.4 364 66
20 5.2 349 75
11 5.1 438 74
15 5 369 63
15 5.2 350 74
19 5 415 62
20 5.1 388 59
15 5.5 429 73
12 5 337 71
17 5.1 341 69
18 5.3 343 68
10 5.5 387 68
14 5.1 370 66
20 5.4 422 73
16 5 446 54
13 7.4 449 72
10 7 439 61
18 5.1 404 63
7 5 403 58
6 5.5 420 74
20 5.3 374 62
12 5.1 410 66
14 5.3 338 58
19 5.2 411 73
13 5.2 446 58
11 5.5 394 75
2 5.4 447 73
2 5.3 371 67
3 5.3 383 68
12 5.1 434 68
6 5.2 389 60
9 5 340 68
2 5.1 411 57
3 5.4 327 74
2 5.5 337 59
2 5.2 329 75
13 5.4 362 74
16 5.2 409 68
14 5.5 361 54
14 5.2 398 58
13 5.4 373 74
16 5.4 447 76
17 5.3 387 74
18 5.3 404 67
7 5.5 359 59
20 5.4 448 63
5 5.2 379 70
19 5.3 355 63
6 5.3 436 68
13 5.4 450 55
12 5 423 58
18 5.1 439 58
18 5.2 328 74
8 5.1 373 77
20 5 380 57
12 5.2 433 72
10 5.2 406 77
6 5.1 380 65
12 5 446 57
12 5.1 326 54
14 5 344 75
5 5.1 411 64
11 5.1 358 56
20 5.2 436 70
18 5.5 365 71
8 5.3 364 74
5 5.4 407 55
14 5.5 337 54
9 5.5 436 77
11 5.2 344 54
17 5.4 374 60
5 5.2 136 74
15 7.1 140 60
16 7.4 150 54
17 7.1 120 70
18 7.2 165 60
16 7.2 342 60
12 5 328 71
9 5.3 421 48
6 5.2 360 47
17 5.5 374 49
18 5.5 432 48
15 5.4 380 50
17 5.3 362 45
6 5.3 365 70
12 5.2 425 63
18 5 326 76
12 5.4 433 56
13 5.3 407 57
16 5.2 382 69
8 5.4 372 69
18 5.3 433 69
5 5.1 418 74
16 5.2 329 66
13 5.3 382 68
13 5.5 440 58
19 5.3 410 74
5 5.5 332 64
11 5.5 347 76
18 5.3 442 67
13 5.2 388 59
14 5 358 68
19 5.1 337 71
10 5.3 365 64
8 5.3 363 66
15 5.2 372 77
20 5.5 327 59
6 5.2 411 55
12 5 346 76
14 5.2 441 69
18 5.4 430 77
7 7.2 326 60
19 7.4 424 71
20 5.3 444 61
16 5.2 449 65
18 5.4 351 75
20 5.4 376 63
18 5.2 418 61
9 5.1 417 64
8 5.1 362 71
16 5 342 60
6 5.1 331 73
3 5 402 71
2 5.5 367 58
3 5.5 449 67
13 5.1 435 64
15 5.1 354 56
9 5 363 77
2 5.3 357 57
3 5.1 426 67
2 5.2 422 76
3 5.3 396 74
9 5.3 387 56
8 5 409 59
7 5.3 381 55
7 5.5 386 72
11 5.3 379 64
14 5.3 327 63
16 5.1 414 71
15 5.2 349 65
6 5.4 406 61
7 5.3 339 69
10 5.5 397 69
5 5.5 352 74
20 5 387 57
10 5 350 69
5 5 368 75
10 5.5 393 54
9 5.3 373 69
19 5.3 329 63
17 5.2 416 76
13 5 328 58
6 5.3 429 58
5 5.1 419 58
6 5.4 359 59
11 5 358 72
10 5.1 415 72
13 5.1 413 73
17 5.3 371 70
17 5 344 64
10 5.4 399 73
11 5.1 416 68
9 5.5 413 61
18 5.5 362 67
8 5.4 372 61
14 5.1 335 73
11 5.2 336 70
10 5.3 158 61
9 7.3 181 70
16 7.1 164 71
8 7 197 71
19 7.5 164 63
16 7.4 337 54
19 5.5 415 66
15 5.2 408 48
17 5.4 399 53
10 5.2 343 48
18 5.5 395 50
9 5.1 428 55
20 5 391 51
8 5.1 437 64
14 5.3 446 76
7 5.5 439 67
11 5.1 409 62
20 5.4 413 73
14 5.3 357 62
12 5.1 398 75
5 5 400 76
16 5.1 351 65
6 5.2 400 75
12 5.5 390 59
18 5.3 346 65
18 5.2 364 57
7 5.4 335 75
15 5.3 397 56
19 5.2 377 73
19 5.4 421 54
8 5 365 74
20 5.3 338 76
17 5 341 74
20 5.4 375 66
10 5.5 393 69
16 5 348 63
20 5.3 431 75
11 5.5 336 62
9 5.4 327 56
7 5.5 357 64
9 7.2 365 73
6 7.1 397 70
7 5.5 431 56
19 5.3 435 54
8 5.3 414 73
7 5.4 346 68
9 5.5 417 57
18 5.5 384 67
18 5.2 412 54
15 5.2 344 67
18 5.4 373 72
2 5 373 60
3 5.5 429 64
2 5.3 433 54
10 5.5 412 54
13 5.2 325 76
13 5.4 439 64
2 5.3 407 70
2 5.4 389 74
2 5.2 340 72
3 5 347 77
5 5 442 57
10 5.2 431 54
8 5.5 361 66
5 5.1 373 71
17 5.5 426 75
14 5.1 433 66
13 5.2 335 76
16 5.3 331 65
10 5.4 381 54
12 5.3 421 77
15 5.3 426 66
20 5.5 431 76
6 5.4 399 66
9 5.1 393 61
14 5.4 391 73
5 5 449 75
6 5.3 408 71
10 5.2 413 54
17 5.5 374 70
6 5.1 383 68
18 5.1 341 76
5 5 414 62
6 5.3 374 72
20 5.3 337 57
16 5.4 425 67
9 5.5 363 73
12 5 336 60
16 5.1 334 59
8 5.3 439 75
10 5.1 367 67
17 5.4 404 62
15 5.3 425 77
7 5.4 359 60
13 5.5 376 59
5 5.1 410 71
18 5.4 162 56
5 7.2 182 62
20 7.1 180 65
10 7.3 136 58
19 7.3 160 70
12 7 402 69
18 5.4 412 59
14 5 326 54
17 5.5 371 48
11 5.3 449 51
15 5 336 54
14 5.4 404 45
17 5.5 331 54
15 5.4 413 62
8 5.3 440 71
19 5.5 446 71
12 5.4 340 57
7 5.2 403 54
11 5.3 373 68
11 5.3 352 55
9 5.2 333 72
14 5.1 365 71
12 5.4 378 73
20 5.5 450 57
13 5.3 392 61
9 5.3 393 61
14 5.1 344 66
19 5 416 66
5 5.5 348 61
16 5.1 440 68
6 5.3 387 55
20 5.2 442 68
19 5.3 448 59
12 5.5 440 77
7 5.2 352 58
18 5.3 334 66
5 5.3 361 76
12 5.4 393 69
17 5.2 427 58
11 5 379 62
7 7.4 450 55
15 7.4 413 64
7 5.1 352 75
5 5.2 345 68
13 5.1 442 60
10 5.4 377 62
20 5.2 338 77
9 5.2 333 57
19 5.3 337 59
7 5.3 368 59
17 5 373 75
2 5.5 407 67
2 5.3 381 66
2 5.1 378 67
5 5.5 355 54
19 5.1 401 70
18 5.5 445 71
2 5.4 404 58
3 5.5 388 64
2 5.5 381 62
3 5.5 347 72
12 5.4 439 73
10 5.2 327 58
20 5 408 64
11 5.3 352 77
18 5.4 447 69
16 5.3 430 60
10 5 366 74
18 5.4 366 61
20 5.5 401 68
5 5.4 334 63
9 5.1 418 55
13 5.5 443 66
16 5 338 55
8 5.2 413 76
6 5.1 421 65
20 5.5 362 72
15 5.3 332 76
7 5.4 417 62
13 5.2 445 77
12 5 370 72
12 5.5 333 77
13 5 444 71
9 5 337 55
14 5.4 421 63
8 5.5 335 70
9 5 364 74
14 5.3 435 55
13 5.3 399 66
16 5.5 422 76
16 5.3 408 71
8 5.4 351 76
12 5.3 337 55
10 5.1 401 76
6 5.2 374 73
11 5.1 409 64
6 5 188 72
13 7.1 128 62
16 7.1 184 60
12 7.5 184 59
13 7.5 173 71
5 7.2 379 71
20 5.5 409 62
15 5 417 46
15 5.2 450 48
8 5 385 50
10 5.3 349 47
9 5.4 327 51
9 5 434 47
8 5.3 358 66
12 5.2 367 68
8 5.2 352 64
10 5.2 411 70
16 5.4 388 57
9 5.3 445 62
13 5.2 415 71
7 5.5 412 57
20 5 352 62
17 5.4 448 62
18 5.2 353 70
15 5.5 426 56
13 5.5 325 57
8 5.3 363 57
8 5.2 406 64
15 5.5 419 76
6 5.4 359 68
8 5.1 443 77
15 5 334 63
18 5 403 61
18 5.4 348 75
13 5.5 402 69
9 5 334 56
9 5.5 325 62
16 5.2 378 75
8 5.1 441 63
10 5.4 359 56
6 7 403 54
19 7.3 357 61
10 5.4 348 70
5 5.1 407 64
12 5.5 349 74
19 5.3 358 73
20 5 385 65
7 5.4 394 56
14 5.3 360 63
10 5.1 442 70
6 5.2 328 73
3 5.2 427 55
2 5 379 70
2 5 330 57
11 5.4 375 69
10 5.3 363 56
17 5 424 61
2 5.1 363 65
3 5.3 336 55
3 5.1 370 64
2 5.4 325 62
12 5.4 350 72
6 5 372 73
15 5.1 392 57
6 5 344 73
7 5.3 413 72
9 5.2 398 75
20 5.2 370 61
8 5.3 331 70
11 5.4 331 62
6 5.3 376 60
13 5.3 380 64
6 5.2 369 70
5 5.2 418 58
7 5.3 367 61
17 5.2 445 62
14 5.2 353 63
14 5 442 59
11 5.3 415 65
19 5.1 388 59
7 5.4 408 66
10 5 368 70
5 5.3 349 66
10 5.2 345 68
19 5 382 71
10 5.1 350 66
8 5 353 60
16 5.5 349 62
19 5.3 328 65
13 5.1 427 69
12 5.5 415 73
14 5.1 401 68
7 5.5 401 56
12 5.2 441 76
10 5.3 440 64
5 5 379 70
8 5.5 151 63
9 7.1 171 72
18 7.2 197 69
9 7 181 70
17 7.1 172 65
9 7.5 390 77
6 5 413 58
13 5.2 343 53
11 5.1 399 47
5 5.5 372 48
7 5.3 381 46
13 5.2 335 55
20 5.4 436 55
19 5 352 61
8 5 351 62
13 5.2 441 63
9 5.2 387 58
11 5.1 419 67
19 5.3 419 63
9 5.3 426 64
5 5.3 399 63
14 5.3 357 63
17 5.4 438 72
11 5.5 352 54
18 5.2 416 75
11 5.3 346 64
16 5.3 367 64
20 5.2 362 65
20 5.1 405 69
17 5.2 348 58
14 5.1 407 56
11 5 432 55
17 5.1 329 54
14 5.4 414 66
15 5.3 441 62
13 5.3 425 55
10 5.2 336 55
6 5.3 371 58
10 5.2 341 69
10 5 357 60
15 7.4 362 76
14 7.3 403 68
12 5.1 432 62
18 5.4 345 75
9 5.5 346 64
